order_event_id,signal_id,timestamp,market_id,mode,executor_type,limit_price,requested_size,filled_size,unfilled_size,avg_fill_price,order_status,cancel_reason,placed_at
d65d64754e21,9c46a3f215c4,2026-03-17T17:48:08.742596+00:00,1609117,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:48:00.436279+00:00
a7b8957d723d,1b74f6f592bf,2026-03-17T17:48:51.862567+00:00,1609120,PAPER,PAPER,0.82,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:48:43.592594+00:00
b137798d532a,673f8d59f5ab,2026-03-17T17:49:09.875025+00:00,1609122,PAPER,PAPER,0.87,1.0,1.0,0.0,0.83,FILLED,,2026-03-17T17:49:09.340818+00:00
ba403bb5d2ac,6483cd0e63eb,2026-03-17T17:49:33.775798+00:00,1609114,PAPER,PAPER,0.82,1.0,1.0,0.0,0.7,FILLED,,2026-03-17T17:49:31.187688+00:00
9ea899c13776,cba9b8c8fbaa,2026-03-17T17:53:08.180451+00:00,1609132,PAPER,PAPER,0.82,1.0,1.0,0.0,0.82,FILLED,,2026-03-17T17:53:07.423508+00:00
5ccd7398b7a6,29519a835367,2026-03-17T17:53:08.277366+00:00,1609128,PAPER,PAPER,0.86,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:53:00.052249+00:00
fb6439e39de6,6c811afd64b1,2026-03-17T17:53:08.278352+00:00,1609131,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:53:00.084752+00:00
d1f0d7076988,d60ef7c4cfa2,2026-03-17T17:53:08.528967+00:00,1609127,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:53:00.272342+00:00
c1aad4f69bea,e1e5ce3e73bd,2026-03-17T17:53:34.123365+00:00,1609129,PAPER,PAPER,0.84,1.0,1.0,0.0,0.84,FILLED,,2026-03-17T17:53:29.201617+00:00
638eb4c4932d,4f5ff694710c,2026-03-17T17:53:51.144998+00:00,1609133,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:53:42.937641+00:00
92b4655c70f0,0c23baf0917c,2026-03-17T17:54:41.043974+00:00,1609130,PAPER,PAPER,0.86,1.0,1.0,0.0,0.85,FILLED,,2026-03-17T17:54:33.577334+00:00
6eda4d56662c,ada0dcd7af43,2026-03-17T17:59:06.602623+00:00,1609148,PAPER,PAPER,0.96,1.0,1.0,0.0,0.95,FILLED,,2026-03-17T17:59:06.092828+00:00
88d4a7668104,5e3300a224b6,2026-03-17T17:59:08.331950+00:00,1599467,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:00.171914+00:00
b09b50323de9,4b2052cae7a3,2026-03-17T17:59:08.411259+00:00,1599373,PAPER,PAPER,0.988,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:00.204895+00:00
13ca9da85172,ba8923a3979b,2026-03-17T17:59:08.484148+00:00,1599444,PAPER,PAPER,0.98,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:00.270998+00:00
46699d0053fa,f22a2153d29b,2026-03-17T17:59:08.766828+00:00,1599412,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:00.546736+00:00
0c55fa81a62e,7294317382c8,2026-03-17T17:59:12.354284+00:00,1609149,PAPER,PAPER,0.95,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:04.126067+00:00
7aaa309267c4,e89b1a6d6d59,2026-03-17T17:59:12.521591+00:00,1609154,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:04.287365+00:00
e76b868a47fc,e25991070c11,2026-03-17T17:59:34.337372+00:00,1609152,PAPER,PAPER,0.89,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:26.182071+00:00
0f64dcff6293,7fb7c759c3b0,2026-03-17T17:59:44.933125+00:00,1609153,PAPER,PAPER,0.9,1.0,1.0,0.0,0.88,FILLED,,2026-03-17T17:59:44.402686+00:00
59042678cdd1,6234b4013efb,2026-03-17T17:59:47.020318+00:00,1599586,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:38.889540+00:00
4de5a830c390,ed6a13b9f772,2026-03-17T17:59:50.719870+00:00,1599518,PAPER,PAPER,0.989,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:42.512356+00:00
d59725c02b44,37ba952f161e,2026-03-17T17:59:58.040997+00:00,1599607,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T17:59:49.843284+00:00
e0d7118919c1,0c593bac9c82,2026-03-17T18:04:03.943978+00:00,1609199,PAPER,PAPER,0.89,1.0,1.0,0.0,0.89,FILLED,,2026-03-17T18:04:02.679805+00:00
14de7af5ae04,3d65440391cf,2026-03-17T18:04:08.244191+00:00,1609197,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:04:00.045986+00:00
7259b7b163b4,5a16ea5af379,2026-03-17T18:04:08.695345+00:00,1609190,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:04:00.454375+00:00
c436877b847b,b3ba9477da60,2026-03-17T18:04:08.813122+00:00,1609193,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:04:00.618602+00:00
b9eac1a82280,88c8472e739a,2026-03-17T18:04:13.222589+00:00,1609195,PAPER,PAPER,0.89,1.0,1.0,0.0,0.89,FILLED,,2026-03-17T18:04:10.149945+00:00
3de5e8a55cd9,942068998b11,2026-03-17T18:04:17.692192+00:00,1609200,PAPER,PAPER,0.89,1.0,1.0,0.0,0.82,FILLED,,2026-03-17T18:04:15.149606+00:00
1a63dba85b12,dce4b8c59c2a,2026-03-17T18:04:17.828324+00:00,1609191,PAPER,PAPER,0.89,1.0,1.0,0.0,0.88,FILLED,,2026-03-17T18:04:15.498084+00:00
bf0259788441,312aefadbd28,2026-03-17T18:24:08.292041+00:00,1609601,PAPER,PAPER,0.91,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:24:00.078331+00:00
630c504a71ca,c81dcfc696f3,2026-03-17T18:24:08.856081+00:00,1609602,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:24:00.674318+00:00
fef93c5cfdeb,2950392f3b29,2026-03-17T18:24:08.856690+00:00,1609597,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:24:00.674662+00:00
af7fe1e62c24,8bd8764a267e,2026-03-17T18:24:08.857069+00:00,1609600,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:24:00.675621+00:00
0b0704ac1b4e,c5ba35a66a0e,2026-03-17T18:24:14.709048+00:00,1609598,PAPER,PAPER,0.89,1.0,1.0,0.0,0.8,FILLED,,2026-03-17T18:24:09.572423+00:00
5092daa603e6,be93cafd8e98,2026-03-17T18:24:20.283562+00:00,1609596,PAPER,PAPER,0.89,1.0,1.0,0.0,0.89,FILLED,,2026-03-17T18:24:15.179272+00:00
5006533c0a1d,04b21859ba1a,2026-03-17T18:24:44.074204+00:00,1609599,PAPER,PAPER,0.91,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:24:35.867417+00:00
ea9c2b0e60d2,314dd33dcbd1,2026-03-17T18:29:00.797747+00:00,1609708,PAPER,PAPER,0.96,1.0,1.0,0.0,0.83,FILLED,,2026-03-17T18:29:00.012245+00:00
52705fd02ea2,ca05d3a9490b,2026-03-17T18:29:03.149170+00:00,1609704,PAPER,PAPER,0.91,1.0,1.0,0.0,0.91,FILLED,,2026-03-17T18:29:01.122177+00:00
1602467b7a5e,fd1c26c9bc49,2026-03-17T18:29:08.236448+00:00,1609706,PAPER,PAPER,0.94,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:29:00.011614+00:00
d6aebd6bc387,d7bf32dcc904,2026-03-17T18:29:15.052074+00:00,1609709,PAPER,PAPER,0.96,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:29:06.750012+00:00
620017b43aee,0c07fe672993,2026-03-17T18:29:15.641605+00:00,1609703,PAPER,PAPER,0.97,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:29:07.470423+00:00
1459971294c3,53091c976993,2026-03-17T18:29:25.665323+00:00,1609705,PAPER,PAPER,0.89,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:29:17.450949+00:00
d1ec0ae1b292,4cf7d3753aa7,2026-03-17T18:34:08.291826+00:00,1609722,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.040197+00:00
cb3f2b4b85a7,eddebb894a06,2026-03-17T18:34:08.292445+00:00,1609720,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.048730+00:00
f84b1649752d,90e8262658e6,2026-03-17T18:34:08.292889+00:00,1609719,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.085124+00:00
7607cb7b664c,860a7536a697,2026-03-17T18:34:08.552862+00:00,1609721,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.366100+00:00
1b3ac676f054,96c21936ae9a,2026-03-17T18:34:08.809141+00:00,1609717,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.564003+00:00
fd418363b77e,8f58329d097b,2026-03-17T18:34:08.809672+00:00,1609714,PAPER,PAPER,0.99,1.0,0.0,1.0,0.0,CANCELLED,not_filled,2026-03-17T18:34:00.570335+00:00
